organisation_1,organisation_2,organisation_3,trans_type,trans_range,origin_country,origin_site,origin_longitude,origin_latitude,capture_date,departure_time,destination_country,destination_site,destination_longitude,destination_latitude,release_time,species,total_individuals,males,females,notes
Uganda Wildlife Authority,Giraffe Conservation Foundation,,founder,range,uga,Murchison Falls National Park (north),31.65827868,2.424292085,23-10-19,01-11-19,uga,Pian Upe Wildlife Reserve,34.2421743,1.838403162,2019-11,northern_nubian,14,10,4,"Angel, Dan, Dawn, Okolim, Pian, Buligi, Jamie, Upe, Ufufuo, Kevin, Ujasiri, Chepsikunya, Robert, Kadam, Hannah"
Uganda Wildlife Authority,Giraffe Conservation Foundation,,augmentation,range,uga,Murchison Falls National Park (north),31.65827868,2.424292085,19-11-20,30-11-20,uga,Pian Upe Wildlife Reserve,34.2421743,1.838403162,2020-11,northern_nubian,15,11,4,"Steph, Lira, Rii, Kamdini, Pakwach, Bumblefoot, Soroti, Corona, Mandazi, Kumi, Malkia, Fupi, Kahawa, Mama Kubwa, Chapati"
Uganda Wildlife Authority,Kenya Wildlife Service,,augmentation,range,uga,Murchison Falls National Park (north),31.65827868,2.424292085,01-04-97,,uga,Kidepo Valley National Park ,33.75179365,3.830215418,,northern_nubian,3,1,2,
Uganda Wildlife Authority,,,,range,uga,Murchison Falls National Park (north),31.65827868,2.424292085,01-01-24,,uga,Ziwa Rhino and Wildlife Ranch,32.07766,1.44826,,northern_nubian,,,,
Uganda Wildlife Authority,,,captivity,range,uga,Murchison Falls National Park (north),31.65827868,2.424292085,01-01-20,,uga,Entebbe Zoo,32.47939864,0.0545,,northern_nubian,,,,UGA Wildlife Education Centre (Entebbe Zoo)
,,,founder,extralimital,zmb,,,,01-01-10,,cod,Society Virginia,,,,southern_southafrican,3,1,2,
,,,founder,extralimital,zmb,,,,01-01-07,,cod,Mikembo Sanctuary,27.661,-11.4687,,southern_southafrican,2,1,1,
,,,founder,range,zwe,Nuanetsi / Bubye Valley / Save Valley,,,01-01-91,,zwe,Cawston Wildlife Estate,,,,southern_southafrican,68,,,
Great Plains Foundation,African Wildlife Management & Conservation,,augmentation,range,zwe,Nuanetsi,30.9832,-21.5367,01-05-24,,zwe,Sikumi-Ngamo Forest Reserve,,,28-05-24,southern_southafrican,69,,,
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Cawston,,,01-01-10,,zwe,"Wild Horizons, Zambezi NP, Victoria Falls",,,4,southern_southafrican,4,,,Nyamandlovu
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Cawston,,,01-01-10,,zwe,Bulawayo Area,,,8,southern_southafrican,8,,,Nyamandlovu
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Chengeta,,,01-01-10,,zwe,Harare Area,,,3,southern_southafrican,3,,,Selous
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Sarahata,,,01-01-11,,zwe,"Norton Ranch, Matopos, Burton",,,2,southern_southafrican,2,,,Raffingora
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Hillbre,,,01-01-11,,zwe,"Garura Eco, Murewa",,,3,southern_southafrican,3,,,Darwendale 
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Hillbre,,,01-01-11,,zwe,"Bushman Rock, Bromley",,,2,southern_southafrican,2,,,Darwendale 
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Swartfontein Farm,,,01-01-11,,zwe,"Brooklands, Odzi",,,3,southern_southafrican,3,,,Masvingo
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Cawston Ranch,,,01-01-11,,zwe,"Longueville Farm, Gwanda",,,3,southern_southafrican,3,,,Darwendale 
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Cawston Ranch,,,01-01-11,,zwe,"Matopos, Burton",,,5,southern_southafrican,5,,,Darwendale 
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Bishopstone Ranch,,,01-01-12,,zwe,"Umfurudzi, Shamva",,,10,southern_southafrican,10,,,Beitbridge
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Bishopstone Ranch,,,01-01-12,,zwe,"Umfurudzi, Shamva",,,8,southern_southafrican,8,,,Beitbridge
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Bishopstone Ranch,,,01-01-12,,zwe,"Umfurudzi, Shamva",,,7,southern_southafrican,7,,,Beitbridge
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Thetford,,,01-01-12,,zwe,"Eco Game Farm, Headlands",,,5,southern_southafrican,5,,,Mazowe
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Irvine's,,,01-01-12,,zwe,Mazowe Game Park,,,3,southern_southafrican,3,,,Beatrice
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Irvine's,,,01-01-12,,zwe,"Bally Vaughan, Shamva",,,1,southern_southafrican,1,,,Beatrice
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Cawston Block,,,01-01-13,,zwe,"Umfurudzi, Shamva",,,7,southern_southafrican,7,,,Nyamandlovu
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Sondelani,,,01-01-13,,zwe,"Umfurudzi, Shamva",,,11,southern_southafrican,11,,,West Nicholson
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Sango Ranch,,,01-01-13,,zwe,Zambezi National Park,25.7102,-17.9783,7,southern_southafrican,7,,,Save Valley Conservancy
