time,event_type,event_category,state,location.latitude,location.longitude,reported_by.content_type,reported_by.id,reported_by.name,reported_by.subject_type,reported_by.subject_subtype,event_details.herd_size,event_details.herd_notes,event_details.river_system,event_details.image_prefix,giraffe_age,giraffe_sex,giraffe_left,giraffe_right,giraffe_notes,giraffe_id
20-01-20 9:20,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.03093,12.61472,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Marble Plains,NA,,sa,m,,,"KHBU019, ",KHBM065
20-01-20 9:20,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.03093,12.61472,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Marble Plains,NA,,sa,f,,,,KHBF039
20-01-20 14:00,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.42144,12.7357,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,2,Khumib,Khumib,,sa,,,,,KHBU018
20-01-20 14:00,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.42144,12.7357,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,2,Khumib,Khumib,,ad,f,,,,KHBF5
20-01-20 15:10,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.54196,12.73419,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Khumib,Khumib,,ad,f,,,,KHBF003
20-01-20 15:10,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.54196,12.73419,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Khumib,Khumib,,ad,f,,,,KHBF010
20-01-20 15:10,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.54196,12.73419,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Khumib,Khumib,,sa,m,,,,KHBM050
20-01-20 15:10,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.54196,12.73419,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Khumib,Khumib,,sa,m,,,,KHBM051
20-01-20 15:40,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.55923,12.7215,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,1,Khumib,Khumib,,sa,m,,,"KHBU017, ",KHBM068
20-01-20 15:55,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.59867,12.70182,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,1,Khumib,Khumib,,sa,f,,,,KHBF036
20-01-20 9:20,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.65558,12.65462,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Khumib,Khumib,,ad,f,,,,KHBF035
20-01-20 9:20,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.65558,12.65462,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Khumib,Khumib,,sa,f,,,"KHBU020, ",KHBF044
20-01-20 9:20,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.65558,12.65462,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Khumib,Khumib,,sa,f,,,,KHBF036
20-01-20 11:20,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.76992,12.93837,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Hoarusib,Hoarusib,,sa,f,,,,HSBF105
20-01-20 11:20,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.76992,12.93837,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Hoarusib,Hoarusib,,ad,f,,,,HSBF037
20-01-20 11:20,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.76992,12.93837,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Hoarusib,Hoarusib,,sa,f,,,,HSBF106
20-01-20 11:20,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.76992,12.93837,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Hoarusib,Hoarusib,,ad,m,,,,HNBM026
20-01-20 15:30,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.72231,12.93701,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,5,Hoarusib,Hoarusib,,sa,m,,,,HSBM152
20-01-20 15:30,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.72231,12.93701,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,5,Hoarusib,Hoarusib,,sa,m,,,,HSBM094
20-01-20 15:30,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.72231,12.93701,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,5,Hoarusib,Hoarusib,,ad,f,,,,HSBF031
20-01-20 15:30,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.72231,12.93701,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,5,Hoarusib,Hoarusib,,sa,m,,,,HSBM157
20-01-20 15:30,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.72231,12.93701,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,5,Hoarusib,Hoarusib,,ad,m,,,,HSBM074
20-01-20 16:14,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.76931,12.93725,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Hoarusib,Hoarusib,,ad,f,,,,HSBF008
20-01-20 16:14,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.76931,12.93725,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Hoarusib,Hoarusib,,ad,f,,,,HSBF037
20-01-20 16:14,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.76931,12.93725,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Hoarusib,Hoarusib,,sa,f,,,,HSBF106
20-01-20 16:14,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.76931,12.93725,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,4,Hoarusib,Hoarusib,,sa,f,,,,HSBF105
20-01-20 18:00,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.75677,12.93671,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Hoarusib,Hoarusib,,ad,m,,,,HSBM079
20-01-20 18:00,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.75677,12.93671,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Hoarusib,Hoarusib,,ad,m,,,,HSBM068
20-01-20 18:00,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.75677,12.93671,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Hoarusib,Hoarusib,,ad,f,,,,HSBF026
20-01-20 11:33,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.79105,12.99351,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Gomatum,NA,,sa,m,,,,HSBM155
20-01-20 11:33,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.79105,12.99351,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Gomatum,NA,,sa,m,,,,HSBM146
20-01-20 11:33,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.79105,12.99351,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Gomatum,NA,,ad,f,,,,HSBF033
20-01-20 12:25,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.7933,13.02195,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,1,Gomatum,NA,,ad,f,,,,HSBF076
20-01-20 14:14,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.75465,12.93645,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Hoarusib,Hoarusib,,ad,m,,,,HSBM042
20-01-20 14:14,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.75465,12.93645,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Hoarusib,Hoarusib,,ad,m,,,,HSBM068
20-01-20 14:14,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.75465,12.93645,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Hoarusib,Hoarusib,,ad,f,,,,HSBF026
20-01-20 14:14,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.75465,12.93645,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Hoarusib,Hoarusib,,ad,m,,,,HSBM079
20-01-20 14:14,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.75465,12.93645,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Hoarusib,Hoarusib,,ad,f,,,,HSBF043
20-01-20 14:14,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.75465,12.93645,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Hoarusib,Hoarusib,,ad,m,,,,HSBM138
20-01-20 16:26,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.6542,12.90632,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,1,Hoarusib,Hoarusib,,ad,m,,,,HSBM056
20-01-20 17:00,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.63632,12.8875,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,1,Hoarusib,Hoarusib,,ad,m,,,,HSBM069
20-01-20 0:01,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.99022,13.15508,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,2,Okongwe,NA,,sa,f,,,,HSBF103
20-01-20 0:01,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.99022,13.15508,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,2,Okongwe,NA,,ad,f,,,,HSBF038
20-01-20 10:55,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.99611,13.13194,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Okongwe,NA,,ad,f,,,,HNBF074
20-01-20 10:55,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.99611,13.13194,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,6,Okongwe,NA,,sa,f,,,,HSBF102
