date,country,gir_species,gir_sex,gir_age,mortality_cause,notes,longitude,latitude
16-12-22 9:00,ken,reticulated,u,u,natural_predation,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Twiga Walinzi, Survey 123 | area Namunyak |  predation",37.39687,1.02291
20-12-22 7:54,ken,reticulated,u,u,natural_predation,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Twiga Walinzi, Survey 123 | area Namunyak | It took the team three days to get the right carcass scene after the person who reported almost declined to give out the information,  predation",37.43074,0.98642
03-02-23 0:00,ken,reticulated,u,u,natural_drought,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Jonathan Lennox, Whatsapp | area Sera | 500 meters north of nolosowuana water point drought",,
14-02-23 0:00,ken,reticulated,u,u,natural_drought,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Meshack Lengees, Whatsapp | area Sera |  drought",37.78882,1.077393
26-02-23 0:00,ken,reticulated,u,u,unknown,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Ba Nekamboe, Whatsapp | area Sera | blood from face in photos unknown",37.657387,0.77855
07-03-23 0:00,ken,reticulated,m,ad,natural_predation,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Almayum, Whatsapp | area Sera / Lolosowan | adult male, predated by lions",37.806446,1.12276
07-03-23 0:00,ken,reticulated,m,ad,unnatural_fencing,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Almayum, Whatsapp | area Sera / Lowuamara | adult male / killed trying to get into sanctuary electrocution",37.87811,1.087357
08-03-23 0:00,ken,reticulated,m,ad,natural_predation,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Meshack Lengees, Whatsapp | area Sera / Echo Sierra | adult male, predated by lions, predation",37.846813,1.123835
15-03-23 0:00,ken,reticulated,m,ad,natural_drought,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Meshack Lengees, Whatsapp | area Sera / Lolosowan | captured via JOCC cameras, Shifra sent to JSD via Whatsapp / adult male, old drought",37.806662,1.123267
18-03-23 0:00,ken,reticulated,m,sa,natural_drought,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Meshack Lengees, Whatsapp | area Lowamara airstrip | sub-adult male drought",37.857664,1.065921
19-03-23 0:00,ken,reticulated,f,sa,natural_drought,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Jonathan Lennox, Whatsapp | area Echo Sierra | sub-adult female drought",37.847388,1.125735
01-01-23 0:00,ken,reticulated,u,u,natural_predation,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Davido, Whatsapp | area SNR | lions predation",,
01-01-23 0:00,ken,reticulated,u,u,unnatural_poaching,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Jonathan Lennox, Whatsapp | area Sera | poached for meat by gun, 40 to 50 kms northeast of Archers",,
28-06-23 0:00,ken,reticulated,m,sa,unnatural_poaching,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Olekutanoj, Whatsapp | area Namunyak / Ngalai  | Lolgiriai - Santait area, incident reported by a community member, subadult male, gunshot",37.601463,1.288862
29-07-23 0:00,ken,reticulated,u,u,natural_predation,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Willy, Whatsapp | area Mpala | killed by lions predation",,
26-09-23 0:00,ken,reticulated,m,sa,unnatural_fencing,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Joseph Lemirgirshkan, Whatsapp | area Sera / Lolosowan | sub-adult male coming from outside sanctuary trying to get in electrocution",37.79684,1.13288
21-09-23 0:00,ken,reticulated,u,u,unnatural_poaching,"KEN_Giraffe_Fatality_Reports_3.20.23.xlsx | Stephen Lenantoiye, Whatsapp | area Westgate | partially decomposed carcass reported by Westgate conservancy in a remote block / partially decompose and eated by Hyenas, gun",37.324866,0.710306
